rmse,mse,mae,euclid,k_neighbors
2.881442169184669,1.8030919417176245,8.302708974355651,2.7590107775362873,7
2.8841937119131664,1.8146037088784452,8.31857336783945,2.7583079243046678,8
2.903785710597021,1.7825003175409628,8.431971453067446,2.756374116466821,4
2.919133341248881,1.80280452178331,8.521339463990856,2.7666543290395387,5
2.9259995540101027,1.8098437698463101,8.56147339006732,2.7855819454283792,6
2.935286220280767,1.8312231677886448,8.615905194970152,2.797270970596878,10
2.9450614051688433,1.8280875566281383,8.673386680215081,2.8055883505407886,9
3.0431562896483344,1.8552521275244507,9.260800203226216,2.8599733971304695,3
3.2673505826277722,1.9038739997459673,10.675579829798043,3.01049081344565,1
3.486417094014397,2.0688873364664047,12.155104153435794,3.2475358487341124,2
